"venuename","Bends","popAvg","barrier_bin","margfin","sample","barrier_margadj"
"Bathurst",1,3.71772112382934,"7+",4.10566807313643,711,0.387946949307083
"Beaudesert",1,3.65811032222829,"1-3",3.52654639175258,776,-0.131563930475713
"Beaudesert",1,3.65811032222829,"4-6",3.60497237569061,724,-0.0531379465376829
"Beaudesert",1,3.65811032222829,"7+",3.92545676004872,821,0.26734643782043
"Belmont",1,3.26752125572269,"1-3",2.90883656509695,722,-0.358684690625742
"Belmont",1,3.26752125572269,"4-6",3.16105263157895,703,-0.106468624143747
"Belmont",1,3.26752125572269,"7+",3.707,820,0.439478744277305
"Benalla",1,3.71483749411211,"1-3",3.53011204481793,714,-0.184725449294179
"Benalla",1,3.71483749411211,"4-6",3.67885714285714,700,-0.0359803512549628
"Benalla",1,3.71483749411211,"7+",3.7903125,960,0.0754750058878946
"Bendigo",1,3.7176393728223,"1-3",3.3879440885265,1717,-0.3296952842958
"Bendigo",1,3.7176393728223,"4-6",3.62464370546318,1684,-0.092995667359117
"Bendigo",1,3.7176393728223,"7+",3.96715789473684,2375,0.249518521914542
"Bordertown",1,3.72643171806167,"1-3",3.65733333333333,225,-0.0690983847283406
"Bordertown",1,3.72643171806167,"4-6",3.59489795918367,196,-0.131533758878001
"Bordertown",1,3.72643171806167,"7+",3.63560209424084,191,-0.0908296238208361
"Bunbury",1,3.52098814229249,"1-3",3.18936970837253,1063,-0.33161843391996
"Bunbury",1,3.52098814229249,"4-6",3.37981042654028,1055,-0.141177715752206
"Bunbury",1,3.52098814229249,"7+",3.90924499229584,1298,0.38825685000335
"Cairns",1,3.22870999030068,"1-3",3.14951573849879,413,-0.0791942518018898
"Cairns",1,3.22870999030068,"4-6",3.25396634615385,416,0.0252563558531671
"Cairns",1,3.22870999030068,"7+",3.4131067961165,412,0.184396805815826
"Camperdown",1,4.01506849315069,"1-3",3.25,34,-0.765068493150685
"Camperdown",1,4.01506849315069,"7+",4.6948717948718,39,0.67980330172111
"Canberra",1,3.54565509819747,"1-3",3.36441409058231,1391,-0.181241007615156
"Canberra",1,3.54565509819747,"4-6",3.43804267844003,1359,-0.107612419757442
"Canberra",1,3.54565509819747,"7+",3.90200458190149,1746,0.356349483704018
"Canterbury",1,3.06087613293051,"1-3",2.82651757188498,1252,-0.234358561045529
"Canterbury",1,3.06087613293051,"4-6",3.190625,1216,0.129748867069486
"Canterbury",1,3.06087613293051,"7+",3.31171328671329,1144,0.250837153782773
"Casino",1,3.71695544554455,"1-3",3.57452229299363,314,-0.142433152550924
"Casino",1,3.71695544554455,"4-6",3.45817610062893,318,-0.258779344915624
"Casino",1,3.71695544554455,"7+",4.02183098591549,426,0.304875540370938
"Caulfield",1,3.45420527441197,"1-3",3.50872210953347,986,0.0545168351214942
"Caulfield",1,3.45420527441197,"4-6",3.43069207622869,997,-0.0235131981832883
"Caulfield",1,3.45420527441197,"7+",3.47260765550239,1672,0.0184023810904179
"Cessnock",1,3.76390728476821,"1-3",3.61180555555556,144,-0.152101729212656
"Cessnock",1,3.76390728476821,"4-6",3.49324324324324,148,-0.270664041524968
"Cessnock",1,3.76390728476821,"7+",4.36914285714286,175,0.605235572374645
"Coffs Harbour",1,3.83719002458728,"1-3",3.6391844300278,1079,-0.198005594559481
"Coffs Harbour",1,3.83719002458728,"4-6",3.66345419847328,1048,-0.173735826114002
"Coffs Harbour",1,3.83719002458728,"7+",4.11605479452055,1825,0.278864769933263
"Colac",1,3.37645259938838,"1-3",3.12105263157895,171,-0.255399967809432
"Colac",1,3.37645259938838,"4-6",3.37861271676301,173,0.0021601173746264
"Colac",1,3.37645259938838,"7+",3.92933333333333,150,0.552880733944954
