"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"L","Eagle Farm",1,3.23054635761589,3.57689888026074,1208,-0.346352522644842
"MF","Eagle Farm",1,3.47257240204429,3.57689888026074,1174,-0.104326478216443
"OF","Eagle Farm",1,3.76860841423948,3.57689888026074,1236,0.191709533978746
"OP","Eagle Farm",1,3.32186678352323,3.57689888026074,1141,-0.255032096737511
"BM","Echuca",1,4.98691860465116,3.81614497295593,172,1.17077363169523
"L","Echuca",1,2.86714975845411,3.81614497295593,207,-0.948995214501828
"MF","Echuca",1,3.76773504273504,3.81614497295593,234,-0.0484099302208918
"OF","Echuca",1,4.13623853211009,3.81614497295593,218,0.320093559154157
"OP","Echuca",1,3.32268292682927,3.81614497295593,205,-0.493462046126666
"BM","Edenhope",1,6.25,4.30593246187364,14,1.06955455286384
"L","Edenhope",1,2.47058823529412,4.30593246187364,34,-1.83534422657952
"MF","Edenhope",1,5.34074074074074,4.30593246187364,27,-0.090221572989505
"OF","Edenhope",1,4.46,4.30593246187364,25,0.358382575859891
"OP","Edenhope",1,3.00833333333333,4.30593246187364,24,-0.444167040746402
"BM","Fannie Bay",1,5.45127659574468,4.27696646662397,141,1.17431012912071
"L","Fannie Bay",1,2.46165109034268,4.27696646662397,321,-1.81531537628129
"MF","Fannie Bay",1,4.7509900990099,4.27696646662397,202,0.474023632385929
"OF","Fannie Bay",1,4.9090395480226,4.27696646662397,177,0.632073081398627
"OP","Fannie Bay",1,3.811875,4.27696646662397,208,-0.465091466623972
"BM","Flemington",1,4.18346366145354,3.63217253987782,2174,0.551291121575725
"L","Flemington",1,3.55817270624518,3.63217253987782,1297,-0.0739998336326346
"MF","Flemington",1,3.447265625,3.63217253987782,1536,-0.184906914877816
"OF","Flemington",1,3.69116222760291,3.63217253987782,1652,0.0589896877250897
"OP","Flemington",1,3.28079847908745,3.63217253987782,1315,-0.351374060790364
"BM","Forbes",1,4.61333333333333,3.54853892306524,15,1.06955455286384
"L","Forbes",1,2.08571428571429,3.54853892306524,28,-0.924015755938997
"MF","Forbes",1,4.47727272727273,3.54853892306524,22,-0.090221572989505
